customer_id,first_name,last_name,email,signup_date
1,John,Doe,john.doe@email.com,2023-01-15
2,Jane,Smith,jane.smith@email.com,2023-02-20
3,Bob,Johnson,bob.johnson@email.com,2023-03-10
4,Alice,Williams,alice.williams@email.com,2023-04-05
5,Charlie,Brown,charlie.brown@email.com,2023-05-12
6,Emma,Davis,emma.davis@email.com,2023-06-18
7,Michael,Wilson,michael.wilson@email.com,2023-07-22
8,Sarah,Taylor,sarah.taylor@email.com,2023-08-30
9,David,Anderson,david.anderson@email.com,2023-09-14
10,Lisa,Martinez,lisa.martinez@email.com,2023-10-25

